CMDLINE C:\Users\TutuWork\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 25.468750 1745540148.7330
MEM 25.468750 1745540148.8333
MEM 25.468750 1745540148.9336
MEM 25.468750 1745540149.0338
MEM 25.468750 1745540149.1346
MEM 25.468750 1745540149.2347
MEM 25.468750 1745540149.3356
MEM 25.468750 1745540149.4358
MEM 25.468750 1745540149.5363
MEM 25.468750 1745540149.6372
MEM 25.468750 1745540149.7383
MEM 25.468750 1745540149.8386
MEM 25.468750 1745540149.9395
MEM 25.468750 1745540150.0403
MEM 25.468750 1745540150.1410
MEM 25.468750 1745540150.2417
MEM 25.468750 1745540150.3428
MEM 25.468750 1745540150.4433
MEM 25.468750 1745540150.5441
MEM 25.468750 1745540150.6447
MEM 25.468750 1745540150.7457
MEM 25.468750 1745540150.8461
MEM 25.468750 1745540150.9463
MEM 25.468750 1745540151.0471
MEM 25.468750 1745540151.1478
MEM 25.468750 1745540151.2484
MEM 25.468750 1745540151.3491
MEM 25.468750 1745540151.4494
MEM 25.468750 1745540151.5501
MEM 25.468750 1745540151.6503
MEM 25.468750 1745540151.7505
MEM 25.468750 1745540151.8513
MEM 25.468750 1745540151.9523
MEM 25.468750 1745540152.0530
MEM 25.468750 1745540152.1533
MEM 25.468750 1745540152.2541
MEM 25.468750 1745540152.3543
MEM 25.468750 1745540152.4551
MEM 25.468750 1745540152.5553
MEM 25.468750 1745540152.6556
MEM 25.468750 1745540152.7563
MEM 25.468750 1745540152.8565
MEM 25.468750 1745540152.9571
MEM 25.468750 1745540153.0573
MEM 25.468750 1745540153.1581
MEM 25.468750 1745540153.2584
MEM 25.468750 1745540153.3591
MEM 25.468750 1745540153.4597
MEM 25.468750 1745540153.5605
MEM 25.468750 1745540153.6612
MEM 25.468750 1745540153.7614
MEM 25.468750 1745540153.8622
MEM 25.468750 1745540153.9624
MEM 25.468750 1745540154.0631
MEM 25.468750 1745540154.1633
MEM 25.468750 1745540154.2641
